,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
2020-09-03,9,2020-09-03,18.464285714285715,36.30714285714286,68.35714285714286,1011.7071428571428,220.5,6.064285714285715,6.142857142857143,135.71428571428572,137.07142857142858
